ISO Week,blink_combined,WebKit
2001-34,12,12
2001-35,55,55
2001-36,48,48
2001-37,12,12
2001-38,44,44
2001-39,58,58
2001-40,67,67
2001-41,21,21
2001-42,57,57
2001-43,12,12
2001-44,15,15
2001-45,36,36
2001-46,22,22
2001-47,5,5
2001-48,3,3
2001-49,11,11
2001-50,22,22
2001-51,18,18
2001-52,0,0
2002-01,0,0
2002-02,11,11
2002-03,16,16
2002-04,5,5
2002-05,31,31
2002-06,22,22
2002-07,22,22
2002-08,31,31
2002-09,17,17
2002-10,37,37
2002-11,30,30
2002-12,42,42
2002-13,65,65
2002-14,62,62
2002-15,17,17
2002-16,35,35
2002-17,28,28
2002-18,13,13
2002-19,35,35
2002-20,38,38
2002-21,37,37
2002-22,36,36
2002-23,51,51
2002-24,61,61
2002-25,31,31
2002-26,53,53
2002-27,40,40
2002-28,35,35
2002-29,61,61
2002-30,65,65
2002-31,42,42
2002-32,65,65
2002-33,62,62
2002-34,51,51
2002-35,35,35
2002-36,47,47
2002-37,72,72
2002-38,46,46
2002-39,84,84
2002-40,59,59
2002-41,48,48
2002-42,72,72
2002-43,99,99
2002-44,59,59
2002-45,71,71
2002-46,102,102
2002-47,129,129
2002-48,48,48
2002-49,65,65
2002-50,93,93
2002-51,96,96
2002-52,32,32
2003-01,46,46
2003-02,29,29
2003-03,41,41
2003-04,91,91
2003-05,75,75
2003-06,46,46
2003-07,22,22
2003-08,35,35
2003-09,31,31
2003-10,64,64
2003-11,43,43
2003-12,46,46
2003-13,59,59
2003-14,63,63
2003-15,46,46
2003-16,45,45
2003-17,47,47
2003-18,68,68
2003-19,61,61
2003-20,38,38
2003-21,29,29
2003-22,31,31
2003-23,34,34
2003-24,53,53
2003-25,4,4
2003-26,3,3
2003-27,16,16
2003-28,38,38
2003-29,20,20
2003-30,37,37
2003-31,42,42
2003-32,37,37
2003-33,31,31
2003-34,48,48
2003-35,36,36
2003-36,30,30
2003-37,25,25
2003-38,23,23
2003-39,47,47
2003-40,61,61
2003-41,31,31
2003-42,42,42
2003-43,46,46
2003-44,87,87
2003-45,70,70
2003-46,70,70
2003-47,68,68
2003-48,0,0
2003-49,42,42
2003-50,75,75
2003-51,36,36
2003-52,12,12
2004-01,0,0
2004-02,29,29
2004-03,23,23
2004-04,24,24
2004-05,41,41
2004-06,28,28
2004-07,36,36
2004-08,14,14
2004-09,17,17
2004-10,39,39
2004-11,29,29
2004-12,18,18
2004-13,23,23
2004-14,42,42
2004-15,38,38
2004-16,30,30
2004-17,53,53
2004-18,46,46
2004-19,27,27
2004-20,44,44
2004-21,47,47
2004-22,61,61
2004-23,43,43
2004-24,39,39
2004-25,62,62
2004-26,23,23
2004-27,7,7
2004-28,28,28
2004-29,41,41
2004-30,42,42
2004-31,36,36
2004-32,33,33
2004-33,44,44
2004-34,55,55
2004-35,60,60
2004-36,59,59
2004-37,40,40
2004-38,65,65
2004-39,79,79
2004-40,63,63
2004-41,49,49
2004-42,43,43
2004-43,33,33
2004-44,29,29
2004-45,31,31
2004-46,47,47
2004-47,50,50
2004-48,17,17
2004-49,43,43
2004-50,66,66
2004-51,60,60
2004-52,24,24
2004-53,0,0
2005-01,44,44
2005-02,37,37
2005-03,51,51
2005-04,45,45
2005-05,47,47
2005-06,48,48
2005-07,53,53
2005-08,68,68
2005-09,82,82
2005-10,61,61
2005-11,67,67
2005-12,26,26
2005-13,7,7
2005-14,4,4
2005-15,18,18
2005-16,17,17
2005-17,28,28
2005-18,36,36
2005-19,33,33
2005-20,13,13
2005-21,28,28
2005-22,27,27
2005-23,80,80
2005-24,52,52
2005-25,49,49
2005-26,69,69
2005-27,55,55
2005-28,53,53
2005-29,59,59
2005-30,71,71
2005-31,60,60
2005-32,59,59
2005-33,67,67
2005-34,61,61
2005-35,75,75
2005-36,48,48
2005-37,26,26
2005-38,54,54
2005-39,40,40
2005-40,84,84
2005-41,49,49
2005-42,38,38
2005-43,86,86
2005-44,54,54
2005-45,38,38
2005-46,37,37
2005-47,39,39
2005-48,95,95
2005-49,72,72
2005-50,99,99
2005-51,92,92
2005-52,80,80
2006-01,79,79
2006-02,179,179
2006-03,120,120
2006-04,165,165
2006-05,118,118
2006-06,165,165
2006-07,111,111
2006-08,90,90
2006-09,152,152
2006-10,108,108
2006-11,120,120
2006-12,92,92
2006-13,131,131
2006-14,105,105
2006-15,73,73
2006-16,129,129
2006-17,66,66
2006-18,51,51
2006-19,131,131
2006-20,110,110
2006-21,79,79
2006-22,78,78
2006-23,69,69
2006-24,69,69
2006-25,120,120
2006-26,91,91
2006-27,110,110
2006-28,161,161
2006-29,96,96
2006-30,66,66
2006-31,85,85
2006-32,21,21
2006-33,72,72
2006-34,107,107
2006-35,125,125
2006-36,71,71
2006-37,115,115
2006-38,125,125
2006-39,117,117
2006-40,177,177
2006-41,151,151
2006-42,133,133
2006-43,173,173
2006-44,156,156
2006-45,119,119
2006-46,89,89
2006-47,20,20
2006-48,66,66
2006-49,132,132
2006-50,112,112
2006-51,114,114
2006-52,82,82
2007-01,136,136
2007-02,177,177
2007-03,140,140
2007-04,160,160
2007-05,156,156
2007-06,144,144
2007-07,109,109
2007-08,126,126
2007-09,91,91
2007-10,132,132
2007-11,172,172
2007-12,148,148
2007-13,98,98
2007-14,75,75
2007-15,51,51
2007-16,85,85
2007-17,158,158
2007-18,60,60
2007-19,134,134
2007-20,148,148
2007-21,177,177
2007-22,79,79
2007-23,55,55
2007-24,81,81
2007-25,109,109
2007-26,139,139
2007-27,162,162
2007-28,128,128
2007-29,197,197
2007-30,193,193
2007-31,91,91
2007-32,125,125
2007-33,89,89
2007-34,82,82
2007-35,82,82
2007-36,107,107
2007-37,118,118
2007-38,107,107
2007-39,88,88
2007-40,85,85
2007-41,246,246
2007-42,211,211
2007-43,325,325
2007-44,236,236
2007-45,263,263
2007-46,198,198
2007-47,125,125
2007-48,286,286
2007-49,233,233
2007-50,188,188
2007-51,163,163
2007-52,73,73
2008-01,174,174
2008-02,234,234
2008-03,217,217
2008-04,140,140
2008-05,129,129
2008-06,169,169
2008-07,154,154
2008-08,166,166
2008-09,133,133
2008-10,200,200
2008-11,173,173
2008-12,148,148
2008-13,171,171
2008-14,150,150
2008-15,150,150
2008-16,242,242
2008-17,252,252
2008-18,199,199
2008-19,137,137
2008-20,201,201
2008-21,217,217
2008-22,111,111
2008-23,160,160
2008-24,118,118
2008-25,151,151
2008-26,146,146
2008-27,145,145
2008-28,120,120
2008-29,101,101
2008-30,144,144
2008-31,119,119
2008-32,117,117
2008-33,152,152
2008-34,93,93
2008-35,99,99
2008-36,141,141
2008-37,145,145
2008-38,327,327
2008-39,290,290
2008-40,261,261
2008-41,204,204
2008-42,156,156
2008-43,180,180
2008-44,170,170
2008-45,177,177
2008-46,207,207
2008-47,235,235
2008-48,157,157
2008-49,225,225
2008-50,211,211
2008-51,132,132
2008-52,63,63
2009-01,98,98
2009-02,218,218
2009-03,209,209
2009-04,204,204
2009-05,233,233
2009-06,247,247
2009-07,213,213
2009-08,93,93
2009-09,206,206
2009-10,175,175
2009-11,195,195
2009-12,175,175
2009-13,190,190
2009-14,141,141
2009-15,193,193
2009-16,232,232
2009-17,216,216
2009-18,267,267
2009-19,271,271
2009-20,265,265
2009-21,253,253
2009-22,149,149
2009-23,181,181
2009-24,174,174
2009-25,245,245
2009-26,280,280
2009-27,200,200
2009-28,200,200
2009-29,310,310
2009-30,290,290
2009-31,299,299
2009-32,255,255
2009-33,373,373
2009-34,332,332
2009-35,184,184
2009-36,214,214
2009-37,239,239
2009-38,222,222
2009-39,235,235
2009-40,269,269
2009-41,313,313
2009-42,262,262
2009-43,281,281
2009-44,334,334
2009-45,232,232
2009-46,375,375
2009-47,293,293
2009-48,169,169
2009-49,271,271
2009-50,328,328
2009-51,345,345
2009-52,157,157
2009-53,108,108
2010-01,356,356
2010-02,315,315
2010-03,408,408
2010-04,297,297
2010-05,306,306
2010-06,276,276
2010-07,305,305
2010-08,291,291
2010-09,273,273
2010-10,338,338
2010-11,345,345
2010-12,381,381
2010-13,356,356
2010-14,394,394
2010-15,333,333
2010-16,431,431
2010-17,406,406
2010-18,387,387
2010-19,419,419
2010-20,407,407
2010-21,332,332
2010-22,326,326
2010-23,321,321
2010-24,417,417
2010-25,428,428
2010-26,433,433
2010-27,539,539
2010-28,551,551
2010-29,379,379
2010-30,415,415
2010-31,499,499
2010-32,414,414
2010-33,383,383
2010-34,538,538
2010-35,457,457
2010-36,523,523
2010-37,445,445
2010-38,515,515
2010-39,555,555
2010-40,475,475
2010-41,425,425
2010-42,462,462
2010-43,535,535
2010-44,474,474
2010-45,487,487
2010-46,503,503
2010-47,278,278
2010-48,528,528
2010-49,471,471
2010-50,431,431
2010-51,342,342
2010-52,207,207
2011-01,453,453
2011-02,477,477
2011-03,559,559
2011-04,542,542
2011-05,592,592
2011-06,606,606
2011-07,642,642
2011-08,661,661
2011-09,582,582
2011-10,527,527
2011-11,549,549
2011-12,476,476
2011-13,698,698
2011-14,598,598
2011-15,678,678
2011-16,634,634
2011-17,655,655
2011-18,564,564
2011-19,456,456
2011-20,467,467
2011-21,515,515
2011-22,432,432
2011-23,445,445
2011-24,526,526
2011-25,519,519
2011-26,542,542
2011-27,351,351
2011-28,454,454
2011-29,410,410
2011-30,407,407
2011-31,435,435
2011-32,382,382
2011-33,427,427
2011-34,415,415
2011-35,520,520
2011-36,404,404
2011-37,450,450
2011-38,476,476
2011-39,496,496
2011-40,538,538
2011-41,528,528
2011-42,574,574
2011-43,565,565
2011-44,522,522
2011-45,686,686
2011-46,710,710
2011-47,333,333
2011-48,736,736
2011-49,509,509
2011-50,615,615
2011-51,422,422
2011-52,206,206
2012-01,433,433
2012-02,549,549
2012-03,461,461
2012-04,547,547
2012-05,526,526
2012-06,677,677
2012-07,650,650
2012-08,678,678
2012-09,646,646
2012-10,640,640
2012-11,694,694
2012-12,802,802
2012-13,705,705
2012-14,684,684
2012-15,614,614
2012-16,558,558
2012-17,671,671
2012-18,596,596
2012-19,592,592
2012-20,707,707
2012-21,769,769
2012-22,650,650
2012-23,549,549
2012-24,584,584
2012-25,533,533
2012-26,506,506
2012-27,368,368
2012-28,583,583
2012-29,598,598
2012-30,669,669
2012-31,636,636
2012-32,599,599
2012-33,574,574
2012-34,667,667
2012-35,653,653
2012-36,548,548
2012-37,700,700
2012-38,557,557
2012-39,643,643
2012-40,599,599
2012-41,650,650
2012-42,700,700
2012-43,710,710
2012-44,603,603
2012-45,686,686
2012-46,814,814
2012-47,571,571
2012-48,614,614
2012-49,712,712
2012-50,702,702
2012-51,549,549
2012-52,159,159
2013-01,320,320
2013-02,595,595
2013-03,652,652
2013-04,602,602
2013-05,743,743
2013-06,678,678
2013-07,679,679
2013-08,659,659
2013-09,636,636
2013-10,663,663
2013-11,548,548
2013-12,658,658
2013-13,485,485
2013-14,407,528
2013-15,563,463
2013-16,427,374
2013-17,490,400
2013-18,361,293
2013-19,443,368
2013-20,425,362
2013-21,496,320
2013-22,376,289
2013-23,432,230
2013-24,387,210
2013-25,406,220
2013-26,349,224
2013-27,314,159
2013-28,507,125
2013-29,383,236
2013-30,405,398
2013-31,381,246
2013-32,405,189
2013-33,316,304
2013-34,378,311
2013-35,328,337
2013-36,336,341
2013-37,346,469
2013-38,288,380
2013-39,279,354
2013-40,439,372
2013-41,505,364
2013-42,444,313
2013-43,584,334
2013-44,515,400
2013-45,421,429
2013-46,404,328
2013-47,369,331
2013-48,307,164
2013-49,386,356
2013-50,428,277
2013-51,303,303
2013-52,82,128
2014-01,103,173
2014-02,402,451
2014-03,391,415
2014-04,398,423
2014-05,397,413
2014-06,456,434
2014-07,424,404
2014-08,374,343
2014-09,514,361
2014-10,496,349
2014-11,460,315
2014-12,459,386
2014-13,565,300
2014-14,461,361
2014-15,443,328
2014-16,456,324
2014-17,525,278
2014-18,497,295
2014-19,492,279
2014-20,294,236
2014-21,457,203
2014-22,410,172
2014-23,472,139
2014-24,357,274
2014-25,506,259
2014-26,433,281
2014-27,374,220
2014-28,421,193
2014-29,467,176
2014-30,383,220
2014-31,411,207
2014-32,401,234
2014-33,473,213
2014-34,389,151
2014-35,268,194
2014-36,360,208
2014-37,383,207
2014-38,301,160
2014-39,390,198
2014-40,402,252
2014-41,321,262
2014-42,347,217
2014-43,431,222
2014-44,345,189
2014-45,211,240
2014-46,379,247
2014-47,420,268
2014-48,328,76
2014-49,421,258
2014-50,429,280
2014-51,455,285
2014-52,126,154
2015-01,92,93
2015-02,336,291
2015-03,335,241
2015-04,328,291
2015-05,320,289
2015-06,413,267
2015-07,394,233
2015-08,399,268
2015-09,411,288
2015-10,385,304
2015-11,359,210
2015-12,412,250
2015-13,383,256
2015-14,421,236
2015-15,407,212
2015-16,354,248
2015-17,448,316
2015-18,360,333
2015-19,299,313
2015-20,247,250
2015-21,366,230
2015-22,338,179
2015-23,407,245
2015-24,437,223
2015-25,425,248
2015-26,395,230
2015-27,325,222
2015-28,440,255
2015-29,385,181
2015-30,300,255
2015-31,351,217
2015-32,337,315
2015-33,362,252
2015-34,400,295
2015-35,384,260
2015-36,363,267
2015-37,289,197
2015-38,358,272
2015-39,86,214
2015-40,0,214
2015-41,0,239
2015-42,0,301
2015-43,0,254
2015-44,0,260
2015-45,0,266
2015-46,0,239
2015-47,0,237
2015-48,0,50
2015-49,0,305
2015-50,0,290
2015-51,0,225
2015-52,0,95
2015-53,0,95
2016-01,0,283
2016-02,0,226
2016-03,0,209
2016-04,0,332
2016-05,0,261
2016-06,0,266
2016-07,0,285
2016-08,0,280
2016-09,0,280
2016-10,0,346
2016-11,0,279
2016-12,0,223
2016-13,0,244
2016-14,0,274
2016-15,0,235
2016-16,0,289
2016-17,0,279
2016-18,0,247
2016-19,0,260
2016-20,0,241
2016-21,0,197
2016-22,0,192
2016-23,0,277
2016-24,0,227
2016-25,0,239
2016-26,0,296
2016-27,0,227
2016-28,0,273
2016-29,0,275
2016-30,0,238
2016-31,0,238
2016-32,0,179
2016-33,0,215
2016-34,0,310
2016-35,0,272
2016-36,0,251
2016-37,0,243
2016-38,0,240
2016-39,0,299
2016-40,0,233
2016-41,0,294
2016-42,0,296
2016-43,0,309
2016-44,0,239
2016-45,0,232
2016-46,0,253
2016-47,0,58
2016-48,0,288
2016-49,0,355
2016-50,0,262
2016-51,0,146
2016-52,0,30
2017-01,0,166
2017-02,0,208
2017-03,0,187
2017-04,0,255
2017-05,0,294
2017-06,0,360
2017-07,0,326
2017-08,0,297
2017-09,0,327
2017-10,0,320
2017-11,0,286
2017-12,0,227
2017-13,0,274
2017-14,0,286
2017-15,0,224
2017-16,0,265
2017-17,0,305
2017-18,0,317
2017-19,0,327
2017-20,0,293
2017-21,0,255
2017-22,0,223
2017-23,0,288
2017-24,0,325
2017-25,0,265
2017-26,0,233
2017-27,0,212
2017-28,0,245
2017-29,0,208
2017-30,0,189
2017-31,0,214
2017-32,0,231
2017-33,0,205
2017-34,0,261
2017-35,4,261
2017-36,5,249
2017-37,13,270
2017-38,8,273
2017-39,7,244
2017-40,0,330
2017-41,1,231
2017-42,0,286
2017-43,0,308
2017-44,0,266
2017-45,0,228
2017-46,1,280
2017-47,0,111
2017-48,0,293
2017-49,0,240
2017-50,0,260
2017-51,0,206
2017-52,0,23
2018-01,0,172
2018-02,0,285
2018-03,4,249
2018-04,1,285
2018-05,0,238
2018-06,0,219
2018-07,0,178
2018-08,0,172
2018-09,0,151
2018-10,7,231
2018-11,1,150
2018-12,6,228
2018-13,0,172
2018-14,17,188
2018-15,260,205
2018-16,178,218
2018-17,276,237
2018-18,221,217
2018-19,250,236
2018-20,316,198
2018-21,362,186
2018-22,316,192
2018-23,271,180
2018-24,305,198
2018-25,241,202
2018-26,288,271
2018-27,224,199
2018-28,282,194
2018-29,228,185
2018-30,225,194
2018-31,213,165
2018-32,230,158
2018-33,226,202
2018-34,231,206
2018-35,262,236
2018-36,207,189
2018-37,243,189
2018-38,232,233
2018-39,256,231
2018-40,263,224
2018-41,265,164
2018-42,259,212
2018-43,273,156
2018-44,264,211
2018-45,287,249
2018-46,289,248
2018-47,188,113
2018-48,408,280
2018-49,341,183
2018-50,322,206
2018-51,296,254
2018-52,66,17
2019-01,123,95
2019-02,421,202
2019-03,341,248
2019-04,317,248
2019-05,372,285
2019-06,330,239
2019-07,371,233
2019-08,351,205
2019-09,428,252
2019-10,394,223
2019-11,410,312
2019-12,432,346
2019-13,417,218
2019-14,480,254
2019-15,265,202
2019-16,347,213
2019-17,314,189
2019-18,330,187
2019-19,379,208
2019-20,363,174
2019-21,381,177
2019-22,366,187
2019-23,362,193
2019-24,323,195
2019-25,367,230
2019-26,356,174
2019-27,318,176
2019-28,414,199
2019-29,370,182
2019-30,409,171
2019-31,349,192
2019-32,333,173
2019-33,416,232
2019-34,433,206
2019-35,417,225
2019-36,389,188
2019-37,370,214
2019-38,304,256
2019-39,402,196
2019-40,406,205
2019-41,472,254
2019-42,387,242
2019-43,285,278
2019-44,359,271
2019-45,350,234
2019-46,257,192
2019-47,370,249
2019-48,357,127
2019-49,428,281
2019-50,376,232
2019-51,393,298
2019-52,69,60
2020-01,148,104
2020-02,363,329
2020-03,431,297
2020-04,346,252
2020-05,430,308
2020-06,345,335
2020-07,392,341
2020-08,362,281
2020-09,306,293
2020-10,359,371
2020-11,442,296
2020-12,367,305
2020-13,317,319
2020-14,410,302
2020-15,332,355
2020-16,378,300
2020-17,439,331
2020-18,386,309
2020-19,343,364
2020-20,403,279
2020-21,294,287
2020-22,372,240
2020-23,423,284
2020-24,409,257
2020-25,347,286
2020-26,451,262
2020-27,250,278
2020-28,390,272
2020-29,341,280
2020-30,286,297
2020-31,311,245
2020-32,342,222
2020-33,344,218
2020-34,384,211
2020-35,332,248
2020-36,250,280
2020-37,275,242
2020-38,312,258
2020-39,336,273
2020-40,379,232
2020-41,326,291
2020-42,302,268
2020-43,313,247
2020-44,356,232
2020-45,290,265
2020-46,320,236
2020-47,348,275
2020-48,248,66
2020-49,349,227
2020-50,364,250
2020-51,291,206
2020-52,85,73
2020-53,38,29
2021-01,222,192
2021-02,334,185
2021-03,301,189
2021-04,334,233
2021-05,332,268
2021-06,367,286
2021-07,321,333
2021-08,332,269
2021-09,330,315
2021-10,314,279
2021-11,303,292
2021-12,258,290
2021-13,279,256
2021-14,259,271
2021-15,336,332
2021-16,368,299
2021-17,313,221
2021-18,313,288
2021-19,311,280
2021-20,305,264
2021-21,215,231
2021-22,290,239
2021-23,323,239
2021-24,317,205
2021-25,292,217
2021-26,276,194
2021-27,244,187
2021-28,309,185
2021-29,249,184
2021-30,246,208
2021-31,329,196
2021-32,373,177
2021-33,318,285
2021-34,310,277
2021-35,268,261
2021-36,259,237
2021-37,285,288
2021-38,235,273
2021-39,278,308
2021-40,258,300
2021-41,240,381
2021-42,234,340
2021-43,305,262
2021-44,321,213
2021-45,291,285
2021-46,331,256
2021-47,239,89
2021-48,360,285
2021-49,248,287
2021-50,212,251
2021-51,114,179
2021-52,42,74
2022-01,177,221
2022-02,301,216
2022-03,281,220
2022-04,301,263
2022-05,301,296
2022-06,272,330
2022-07,287,356
2022-08,241,290
2022-09,249,255
2022-10,285,266
2022-11,315,281
2022-12,273,267
2022-13,330,254
2022-14,335,310
2022-15,301,231
2022-16,301,215
2022-17,330,229
2022-18,249,244
2022-19,245,173
2022-20,287,273
2022-21,247,265
2022-22,221,204
2022-23,252,165
2022-24,257,184
2022-25,234,194
2022-26,267,249
2022-27,233,225
2022-28,307,226
2022-29,292,218
2022-30,263,214
2022-31,262,205
2022-32,317,220
2022-33,283,218
2022-34,305,259
2022-35,301,261
2022-36,269,215
2022-37,280,252
2022-38,239,226
2022-39,301,231
2022-40,246,251
2022-41,314,282
2022-42,323,292
2022-43,327,242
2022-44,322,240
2022-45,321,248
2022-46,312,264
2022-47,273,159
2022-48,347,307
2022-49,289,350
2022-50,318,357
2022-51,171,261
2022-52,61,43
2023-01,176,275
2023-02,313,290
2023-03,277,260
2023-04,335,342
2023-05,294,336
2023-06,279,302
2023-07,315,347
2023-08,227,339
2023-09,312,391
2023-10,347,304
2023-11,292,299
2023-12,297,277
2023-13,322,359
2023-14,317,266
2023-15,300,250
2023-16,298,285
2023-17,280,249
2023-18,222,236
2023-19,279,278
2023-20,326,250
2023-21,337,334
2023-22,327,210
2023-23,307,205
2023-24,289,233
2023-25,334,213
2023-26,276,197
2023-27,225,191
2023-28,346,200
2023-29,216,145
2023-30,228,182
2023-31,276,209
2023-32,265,230
2023-33,271,222
2023-34,244,259
2023-35,262,261
2023-36,280,252
2023-37,279,220
2023-38,308,315
2023-39,287,328
2023-40,294,348
2023-41,325,289
2023-42,357,290
2023-43,346,273
2023-44,276,337
2023-45,353,370
2023-46,330,340
2023-47,278,165
2023-48,388,329
2023-49,306,401
2023-50,323,343
2023-51,227,292
2023-52,40,54
2024-01,143,205
2024-02,266,278
2024-03,292,257
2024-04,331,356
2024-05,327,442
2024-06,294,368
2024-07,296,508
2024-08,297,348
2024-09,310,303
2024-10,367,286
2024-11,301,354
2024-12,361,365
2024-13,322,252
2024-14,313,321
2024-15,323,293
2024-16,335,316
2024-17,325,297
2024-18,272,298
2024-19,270,279
2024-20,342,307
2024-21,261,359
2024-22,265,296
2024-23,301,232
2024-24,253,197
2024-25,235,230
2024-26,262,226
2024-27,234,202
2024-28,269,235
2024-29,301,222
2024-30,262,302
2024-31,259,340
2024-32,303,288
2024-33,307,307
2024-34,299,307
2024-35,367,325
2024-36,317,257
2024-37,295,0
